,supplier_id,sales_growth,profit_margin,normalised_ebita_margin,net_profit_margin,net_worth,working_capital,receivable_day,inventory_days,payable_days,cash_equivalents,current_liabilities,total_debts,net_income,cashflow_stability,is_client_on_CRB,statements_status,economic_sensitivity,capital_intensity,utilization_capacity,market_growth,is_litigation_issues,how_regulated,is_there_competition,how_competitive,how_mature,is_industry_performing,is_industry_risky,are_there_structures,is_business_technical,how_technical,how_managed,is_it_one_man_show,is_there_controls,has_experience,times_supplied_before,st_debt,total_liabilities,current_ratio,interest_expense,equity,total_current_assets,stability,how_diverse,product_substitution,scoring_time
34,35,0.66,0.98,0.16,0.0038,0.97,40436919,17,35,25,81,97,88,87,94,8,90,high,problematic,weak,problematic,True,problematic,False,high,outstanding,True,True,False,False,Yearly,Daily,True,False,False,Often,97,0.97,1.0,6.25,97,9.7,problematic,high,outstanding,2022-07-22 10:51:29.985550
35,36,0.88,0.74,0.87,0.0053,0.65,89266006,96,15,15,80,65,52,17,88,23,78,high,problematic,outstanding,problematic,True,problematic,False,high,medium,True,False,True,False,Never,Weekly,True,False,True,Seldom,65,0.65,0.6,3.75,65,6.5,weak,high,medium,2022-07-22 10:51:29.985550
36,37,0.27,0.86,0.66,0.0093999999999999,0.93,26108953,91,37,10,41,93,27,7,1,13,99,weak,outstanding,medium,outstanding,True,outstanding,True,outstanding,problematic,True,False,True,False,Yearly,Monthly,False,True,False,Monthly,93,0.93,0.4,2.5,93,9.3,outstanding,outstanding,problematic,2022-07-22 10:51:29.985550
37,38,0.2,0.25,0.31,0.0045,0.55,74086208,32,33,96,15,55,65,78,16,43,92,medium,high,problematic,high,False,high,False,weak,high,False,False,False,False,Seldom,Weekly,True,True,False,Yearly,55,0.55,3.84,24.0,55,5.5,high,weak,high,2022-07-22 10:51:29.985550
38,39,0.2,0.35,0.43,0.0040999999999999,0.81,42471536,45,40,3,100,81,71,97,27,38,24,outstanding,high,medium,high,False,high,False,high,problematic,True,True,False,False,Weekly,Daily,True,False,False,Often,81,0.81,0.12,0.75,81,8.1,problematic,high,problematic,2022-07-22 10:51:29.985550
39,40,0.55,0.18,0.84,0.0043,0.33,89593330,3,27,32,54,33,70,91,33,18,75,high,medium,problematic,medium,True,medium,False,high,medium,True,True,False,False,Never,Never,True,True,False,Daily,33,0.33,1.28,8.0,33,3.3,problematic,high,medium,2022-07-22 10:51:29.985550
40,41,0.26,0.32,0.26,0.006,0.35,59275177,27,26,42,38,35,61,70,53,41,87,weak,medium,problematic,medium,False,medium,True,problematic,medium,False,False,True,False,Weekly,Monthly,True,True,True,Seldom,35,0.35,1.68,10.5,35,3.5,weak,problematic,medium,2022-07-22 10:51:29.985550
41,42,0.63,0.75,0.46,0.0096,0.8,95536948,17,82,9,4,80,51,92,3,79,70,problematic,problematic,outstanding,problematic,True,problematic,True,high,problematic,False,True,True,False,Yearly,Often,True,False,True,Once,80,0.8,0.36,2.25,80,8.0,problematic,high,problematic,2022-07-22 10:51:29.985550
42,43,0.69,0.48,0.86,0.0021,0.19,34969855,89,16,30,91,19,22,5,64,64,41,outstanding,problematic,weak,problematic,False,problematic,True,problematic,problematic,False,False,True,True,Weekly,Seldom,False,False,False,Often,19,0.19,1.2,7.5,19,1.9,problematic,problematic,problematic,2022-07-22 10:51:29.985550
43,44,0.83,0.2,0.37,0.005,0.88,95979619,98,27,12,55,88,5,83,11,23,89,outstanding,weak,weak,weak,True,weak,False,medium,high,False,True,False,True,Never,Monthly,True,False,True,Weekly,88,0.88,0.48,3.0,88,8.8,problematic,medium,high,2022-07-22 10:51:29.985550
44,45,0.11,0.31,0.16,0.0068,0.7,37167306,65,29,52,17,70,86,57,52,29,39,weak,high,weak,high,False,high,True,problematic,weak,True,True,True,True,Never,Seldom,False,False,False,Weekly,70,0.7,2.08,13.0,70,7.0,problematic,problematic,weak,2022-07-22 10:51:29.985550
45,46,0.14,0.25,0.14,0.0025,0.86,83244222,96,1,7,32,86,63,16,16,28,69,high,medium,outstanding,medium,False,medium,True,high,problematic,True,False,True,True,Never,Yearly,True,True,True,Once,86,0.86,0.28,1.75,86,8.6,problematic,high,problematic,2022-07-22 10:51:29.985550
46,47,0.11,0.32,0.72,0.0027,0.28,6303382,75,24,25,36,28,70,82,41,54,23,high,problematic,high,problematic,True,problematic,True,outstanding,weak,False,False,True,False,Daily,Once,True,False,False,Weekly,28,0.28,1.0,6.25,28,2.8,problematic,outstanding,weak,2022-07-22 10:51:29.985550
47,48,0.04,0.06,0.79,0.0066,0.14,73941604,93,25,40,98,14,37,45,84,21,36,outstanding,medium,high,medium,False,medium,True,medium,problematic,True,False,True,True,Daily,Monthly,False,True,True,Weekly,14,0.14,1.6,10.0,14,1.4,problematic,medium,problematic,2022-07-22 10:51:29.985550
48,49,0.46,0.04,0.48,0.0098,0.56,41956583,37,49,32,38,56,82,59,58,27,82,medium,weak,high,weak,True,weak,False,outstanding,problematic,False,False,True,True,Weekly,Once,True,False,True,Often,56,0.56,1.28,8.0,56,5.6,problematic,outstanding,problematic,2022-07-22 10:51:29.985550
49,50,0.19,0.79,0.03,0.006,0.59,32343680,12,9,8,28,59,81,47,66,72,12,problematic,problematic,medium,problematic,True,problematic,False,problematic,medium,True,False,True,True,Once,Weekly,False,True,True,Weekly,59,0.59,0.32,2.0,59,5.9,problematic,problematic,medium,2022-07-22 10:51:29.985550
50,51,0.27,0.79,0.72,0.0079,0.74,67598051,82,65,29,69,74,7,89,18,1,100,weak,weak,high,weak,False,weak,False,high,weak,True,True,True,False,Monthly,Monthly,True,True,False,Weekly,74,0.74,1.16,7.25,74,7.4,problematic,high,weak,2022-07-22 10:51:29.985550
51,52,0.56,0.25,0.84,0.0089,0.11,2569143,34,14,18,69,11,11,18,29,82,83,problematic,medium,weak,medium,False,medium,True,problematic,problematic,False,True,True,False,Once,Yearly,False,True,True,Yearly,11,0.11,0.72,4.5,11,1.1,high,problematic,problematic,2022-07-22 10:51:29.985550
52,53,0.39,0.52,0.53,0.0067,0.58,67224857,88,2,17,28,58,49,59,24,99,38,medium,problematic,weak,problematic,False,problematic,False,problematic,medium,True,False,True,True,Weekly,Monthly,True,True,False,Yearly,58,0.58,0.68,4.25,58,5.8,high,problematic,medium,2022-07-22 10:51:29.985550
53,54,0.96,0.91,0.88,0.0069,0.23,95593029,61,34,60,27,23,58,40,49,9,81,medium,medium,outstanding,medium,False,medium,True,problematic,problematic,False,False,True,False,Never,Often,True,True,True,Monthly,23,0.23,2.4,15.0,23,2.3,outstanding,problematic,problematic,2022-07-22 10:51:29.985550
54,55,0.32,0.58,0.45,0.0067,0.65,87100471,58,74,34,98,65,15,48,13,20,27,weak,problematic,high,problematic,True,problematic,False,problematic,problematic,False,False,False,False,Weekly,Seldom,True,False,False,Seldom,65,0.65,1.36,8.5,65,6.5,weak,problematic,problematic,2022-07-22 10:51:29.985550
55,56,0.01,0.91,0.03,0.0053,0.91,24773196,88,12,66,70,91,29,19,10,36,76,weak,high,medium,high,False,high,True,medium,problematic,False,True,False,False,Often,Weekly,True,True,False,Weekly,91,0.91,2.64,16.5,91,9.1,problematic,medium,problematic,2022-07-22 10:51:29.985550
56,57,0.15,0.84,0.99,0.0059,0.93,5605244,39,85,56,27,93,42,43,38,46,75,high,medium,high,medium,True,medium,True,medium,weak,True,True,True,False,Never,Once,False,True,True,Weekly,93,0.93,2.24,14.0,93,9.3,problematic,medium,weak,2022-07-22 10:51:29.985550
57,58,0.67,0.66,0.25,0.0022,0.14,2111153,10,25,41,85,14,99,93,28,29,93,outstanding,high,medium,high,False,high,False,weak,problematic,False,True,True,True,Daily,Often,True,False,True,Monthly,14,0.14,1.64,10.25,14,1.4,outstanding,weak,problematic,2022-07-22 10:51:29.985550
58,59,0.27,0.43,0.41,0.0025,0.98,54777139,5,3,90,69,98,37,5,76,5,12,problematic,outstanding,weak,outstanding,False,outstanding,True,problematic,problematic,True,True,False,True,Never,Weekly,True,True,False,Seldom,98,0.98,3.6,22.5,98,9.8,weak,problematic,problematic,2022-07-22 10:51:29.985550
59,60,0.35,0.31,0.12,0.0048,0.02,52049807,89,21,44,90,2,76,26,34,81,97,outstanding,problematic,outstanding,problematic,False,problematic,False,problematic,high,True,False,True,False,Often,Never,False,True,False,Often,2,0.02,1.76,11.0,2,0.2,problematic,problematic,high,2022-07-22 10:51:29.985550
60,61,0.4,0.53,0.64,0.0055,0.34,7413076,14,93,6,71,34,74,87,58,43,55,outstanding,outstanding,medium,outstanding,True,outstanding,False,problematic,problematic,False,True,False,False,Monthly,Seldom,False,False,False,Never,34,0.34,0.24,1.5,34,3.4,problematic,problematic,problematic,2022-07-22 10:51:29.985550
61,62,0.97,0.41,0.76,0.0018,0.63,55142654,79,83,20,26,63,47,96,87,25,49,high,problematic,high,problematic,False,problematic,False,outstanding,problematic,False,True,True,False,Weekly,Seldom,True,True,False,Seldom,63,0.63,0.8,5.0,63,6.3,weak,outstanding,problematic,2022-07-22 10:51:29.985550
62,63,0.42,0.54,0.99,0.0070999999999999,0.05,16731331,37,18,42,48,5,42,61,16,66,54,medium,problematic,weak,problematic,False,problematic,False,problematic,problematic,False,True,False,True,Once,Monthly,True,True,False,Once,5,0.05,1.68,10.5,5,0.5,problematic,problematic,problematic,2022-07-22 10:51:29.985550
63,64,0.66,0.24,0.7,0.0026,0.04,28275215,95,7,12,79,4,69,19,46,29,96,outstanding,high,medium,high,False,high,False,problematic,problematic,True,True,True,False,Once,Seldom,True,False,False,Weekly,4,0.04,0.48,3.0,4,0.4,problematic,problematic,problematic,2022-07-22 10:51:29.985550
64,65,0.06,0.71,0.77,0.0034,0.24,22815471,19,7,92,37,24,83,86,62,70,13,weak,weak,outstanding,weak,True,weak,True,outstanding,weak,True,True,True,False,Yearly,Weekly,True,False,False,Weekly,24,0.24,3.68,23.0,24,2.4,problematic,outstanding,weak,2022-07-22 10:51:29.985550
65,66,0.54,0.18,0.21,0.0072,0.99,50581083,95,64,43,75,99,88,89,97,21,68,high,problematic,weak,problematic,False,problematic,True,weak,problematic,False,True,False,False,Seldom,Seldom,False,True,True,Monthly,99,0.99,1.72,10.75,99,9.9,outstanding,weak,problematic,2022-07-22 10:51:29.985550
66,67,0.1,0.85,0.39,0.0017,0.14,52955982,14,54,94,17,14,98,58,40,57,5,medium,weak,high,weak,True,weak,True,problematic,high,True,True,False,True,Never,Yearly,False,True,False,Weekly,14,0.14,3.76,23.5,14,1.4,problematic,problematic,high,2022-07-22 10:51:29.985550
67,68,0.45,0.87,0.18,0.002,0.11,81762027,91,62,65,85,11,73,36,14,86,33,medium,weak,high,weak,False,weak,False,high,problematic,True,True,False,False,Seldom,Monthly,True,False,True,Never,11,0.11,2.6,16.25,11,1.1,problematic,high,problematic,2022-07-22 10:51:29.985550
68,69,0.59,0.69,0.03,0.0093,0.82,10821675,41,56,49,66,82,76,37,40,29,31,outstanding,weak,high,weak,True,weak,True,problematic,weak,True,True,False,True,Daily,Once,True,True,False,Daily,82,0.82,1.96,12.25,82,8.2,problematic,problematic,weak,2022-07-22 10:51:29.985550
69,70,0.44,0.65,0.86,0.0097,0.34,58735764,47,16,95,15,34,88,33,93,70,23,outstanding,problematic,medium,problematic,True,problematic,True,medium,problematic,True,True,False,False,Daily,Seldom,False,False,False,Yearly,34,0.34,3.8,23.75,34,3.4,high,medium,problematic,2022-07-22 10:51:29.985550
70,71,0.39,0.64,0.61,0.0024,0.87,18770936,8,45,21,28,87,55,24,74,26,89,medium,weak,medium,weak,False,weak,True,problematic,problematic,False,True,True,True,Seldom,Weekly,False,False,True,Monthly,87,0.87,0.84,5.25,87,8.7,outstanding,problematic,problematic,2022-07-22 10:51:29.985550
71,72,0.96,0.93,0.28,0.0091,0.44,62810567,32,67,64,36,44,66,90,57,29,4,problematic,weak,medium,weak,True,weak,False,problematic,weak,False,False,False,False,Monthly,Once,False,True,False,Seldom,44,0.44,2.56,16.0,44,4.4,weak,problematic,weak,2022-07-22 10:51:29.985550
72,73,0.7,0.47,0.45,0.0086,0.3,12218117,33,41,13,39,30,75,22,39,39,98,weak,weak,high,weak,False,weak,True,problematic,medium,False,False,False,True,Often,Often,False,True,True,Monthly,30,0.3,0.52,3.25,30,3.0,outstanding,problematic,medium,2022-07-22 10:51:29.985550
73,74,0.76,0.62,0.66,0.0027,0.1,425257,69,47,87,22,10,52,15,30,13,2,weak,medium,weak,medium,False,medium,True,problematic,medium,False,True,True,False,Once,Never,False,True,False,Weekly,10,0.1,3.48,21.75,10,1.0,problematic,problematic,medium,2022-07-22 10:51:29.985550
74,75,0.59,0.48,0.88,0.0049,0.43,45276191,27,84,45,14,43,37,8,48,40,93,high,medium,high,medium,False,medium,False,problematic,medium,True,True,False,False,Yearly,Monthly,False,False,False,Yearly,43,0.43,1.8,11.25,43,4.3,high,problematic,medium,2022-07-22 10:51:29.985550
75,76,0.81,0.02,0.04,0.0081999999999999,0.05,18516976,5,41,36,17,5,71,21,15,80,36,medium,high,high,high,True,high,True,weak,problematic,False,True,False,True,Never,Seldom,False,True,True,Daily,5,0.05,1.44,9.0,5,0.5,problematic,weak,problematic,2022-07-22 10:51:29.985550
76,77,0.76,0.19,0.98,0.0096,0.26,719642,51,64,6,39,26,42,5,81,55,76,medium,high,medium,high,True,high,False,problematic,problematic,False,False,False,False,Seldom,Never,False,False,False,Once,26,0.26,0.24,1.5,26,2.6,problematic,problematic,problematic,2022-07-22 10:51:29.985550
77,78,0.45,0.05,0.72,0.0088,0.4,34842644,53,99,55,88,40,16,6,96,67,58,medium,outstanding,high,outstanding,True,outstanding,False,weak,problematic,True,True,True,False,Never,Monthly,True,False,True,Once,40,0.4,2.2,13.75,40,4.0,problematic,weak,problematic,2022-07-22 10:51:29.985550
78,79,0.9,0.58,0.16,0.0069,0.75,9399540,30,93,28,95,75,12,91,21,77,100,medium,medium,high,medium,False,medium,False,high,weak,False,False,True,False,Daily,Monthly,True,True,False,Once,75,0.75,1.12,7.0,75,7.5,problematic,high,weak,2022-07-22 10:51:29.985550
79,80,0.89,0.64,0.38,0.01,0.06,27555043,8,74,55,31,6,12,90,28,57,25,weak,outstanding,outstanding,outstanding,False,outstanding,True,problematic,medium,True,False,True,False,Often,Never,True,False,True,Once,6,0.06,2.2,13.75,6,0.6,problematic,problematic,medium,2022-07-22 10:51:29.985550
80,81,0.53,0.83,0.64,0.0033,0.77,23242283,47,58,18,88,77,70,18,25,18,100,outstanding,weak,weak,weak,False,weak,True,problematic,weak,True,False,False,False,Daily,Seldom,False,False,True,Never,77,0.77,0.72,4.5,77,7.7,problematic,problematic,weak,2022-07-22 10:51:29.985550
81,82,0.22,0.29,0.22,0.0093,0.29,36999433,3,73,51,34,29,73,85,19,59,87,outstanding,outstanding,weak,outstanding,False,outstanding,False,weak,problematic,False,True,True,True,Once,Once,False,False,False,Seldom,29,0.29,2.04,12.75,29,2.9,weak,weak,problematic,2022-07-22 10:51:29.985550
82,83,0.38,0.52,0.5,0.0098999999999999,0.74,31026769,83,40,81,37,74,68,89,96,20,80,weak,outstanding,problematic,outstanding,True,outstanding,False,problematic,problematic,False,False,True,False,Weekly,Weekly,True,False,True,Often,74,0.74,3.24,20.25,74,7.4,problematic,problematic,problematic,2022-07-22 10:51:29.985550
83,84,0.58,0.25,0.56,0.0073,0.56,11006081,58,19,20,87,56,97,71,54,48,93,weak,medium,problematic,medium,False,medium,False,weak,high,False,False,False,False,Once,Yearly,True,True,True,Yearly,56,0.56,0.8,5.0,56,5.6,high,weak,high,2022-07-22 10:51:29.985550
84,85,0.97,0.88,0.43,0.0060999999999999,0.04,55433197,20,73,47,13,4,58,45,60,45,41,weak,outstanding,weak,outstanding,False,outstanding,False,problematic,weak,True,True,True,False,Never,Daily,True,True,False,Monthly,4,0.04,1.88,11.75,4,0.4,outstanding,problematic,weak,2022-07-22 10:51:29.985550
85,86,0.47,0.3,0.72,0.0043,0.75,38387036,87,68,96,88,75,43,28,36,15,80,outstanding,weak,weak,weak,True,weak,False,weak,problematic,False,False,False,True,Monthly,Never,True,False,True,Daily,75,0.75,3.84,24.0,75,7.5,problematic,weak,problematic,2022-07-22 10:51:29.985550
86,87,0.27,0.63,0.13,0.0072,0.15,52061603,43,69,90,14,15,59,95,71,67,16,outstanding,high,outstanding,high,False,high,True,outstanding,problematic,True,False,True,True,Never,Daily,False,False,True,Often,15,0.15,3.6,22.5,15,1.5,problematic,outstanding,problematic,2022-07-22 10:51:29.985550
87,88,0.96,0.83,0.03,0.0086,0.47,68310594,74,44,78,47,47,17,91,16,36,13,medium,outstanding,weak,outstanding,False,outstanding,False,problematic,problematic,False,True,False,True,Once,Monthly,False,True,True,Seldom,47,0.47,3.12,19.5,47,4.7,weak,problematic,problematic,2022-07-22 10:51:29.985550
