supplier_id,sales_growth,profit_margin,normalised_ebita_margin,net_profit_margin,net_worth,working_capital,receivable_day,inventory_days,payable_days,cash_equivalents,current_liabilities,total_debts,net_income,cashflow_stability,is_client_on_CRB,statements_status,economic_sensitivity,capital_intensity,utilization_capacity,market_growth,is_litigation_issues,how_regulated,is_there_competition,how_competitive,how_mature,is_industry_performing,is_industry_risky,are_there_structures,is_business_technical,how_technical,how_managed,is_it_one_man_show,is_there_controls,has_experience,times_supplied_before
14,82,31,37,53,90,75020090,45,9,32,4,77,86,18,58,86,93,17,61,65,93,false,true,true,Monthly,Weekly,false,false,true,false,Never,Often,false,false,true,Weekly
15,84,25,22,93,43,60598171,3,82,16,7,58,20,13,33,78,14,87,31,56,3,true,false,true,Monthly,Weekly,true,false,false,false,Weekly,Daily,true,true,true,Once
16,86,91,41,14,66,76322425,86,66,80,33,56,96,58,49,82,11,71,30,54,20,false,true,false,Weekly,Monthly,false,true,true,false,Once,Monthly,false,false,true,Once
17,100,57,71,78,41,79198511,64,68,31,81,93,95,68,46,2,18,81,35,1,86,false,false,true,Monthly,Monthly,false,true,true,false,Once,Once,false,false,true,Monthly
18,34,34,37,92,84,23805361,30,46,56,90,64,45,43,13,14,81,27,55,67,28,false,false,true,Monthly,Yearly,true,true,false,false,Yearly,Seldom,true,true,true,Often
19,13,100,4,5,48,21731992,17,19,48,70,64,5,18,40,73,99,3,43,3,21,true,true,false,Monthly,Weekly,false,false,true,true,Daily,Weekly,true,true,true,Weekly
20,52,3,98,27,36,84039757,94,88,14,59,81,48,12,70,19,22,33,75,67,16,true,true,true,Daily,Daily,true,true,true,false,Seldom,Never,false,true,true,Often
21,59,46,60,26,66,77824499,8,9,72,52,30,90,99,87,41,3,82,55,10,59,false,true,true,Often,Weekly,false,false,true,true,Once,Often,false,true,false,Daily
22,100,50,16,89,75,48067702,4,89,24,71,15,68,89,28,42,70,93,40,5,47,true,true,false,Daily,Daily,true,false,false,true,Weekly,Weekly,true,true,true,Seldom
23,54,25,71,76,77,35541964,71,78,16,45,90,77,41,26,39,64,10,9,53,11,false,true,false,Never,Never,false,true,false,true,Weekly,Yearly,false,false,true,Seldom
24,57,11,76,77,37,43175322,98,52,25,36,77,22,87,52,18,26,15,28,50,17,true,true,false,Often,Weekly,true,true,false,false,Often,Seldom,true,false,true,Often
25,95,97,99,74,11,77694585,72,59,94,5,65,65,92,71,63,57,85,13,31,61,false,false,true,Never,Often,false,false,false,true,Daily,Once,true,true,true,Never
26,61,63,36,82,59,32031279,50,55,43,37,85,42,38,40,32,45,28,72,31,75,true,false,true,Once,Daily,true,false,true,true,Weekly,Once,true,false,false,Often
27,25,28,28,72,16,44159355,78,8,17,95,64,95,87,97,27,21,59,46,58,90,false,false,true,Seldom,Once,true,false,false,false,Seldom,Yearly,true,true,false,Never
28,61,6,87,97,81,59645870,10,85,10,56,55,87,19,73,47,71,24,93,82,27,false,false,false,Seldom,Never,true,false,true,false,Seldom,Seldom,false,true,false,Once
29,78,59,86,93,59,13470111,31,52,62,67,27,50,85,80,84,86,43,47,42,70,true,true,true,Yearly,Once,true,false,true,false,Monthly,Seldom,false,true,false,Yearly
30,81,35,69,76,32,3163999,1,87,33,82,94,73,37,40,76,24,28,85,7,14,false,false,false,Never,Yearly,false,false,false,false,Yearly,Daily,true,false,false,Seldom
31,51,15,71,13,12,53566096,77,38,32,53,16,86,36,63,52,82,63,94,72,2,true,false,false,Often,Yearly,true,false,true,false,Once,Seldom,false,true,false,Yearly
32,55,24,87,5,93,51407546,88,23,65,92,24,83,21,21,100,44,20,87,81,57,true,false,false,Daily,Often,false,false,true,false,Weekly,Weekly,false,true,true,Often
33,89,78,65,1,83,90610987,12,89,31,20,97,22,8,45,57,7,95,99,26,72,true,true,true,Yearly,Never,false,false,false,false,Seldom,Weekly,false,false,true,Weekly
34,63,23,76,89,8,22987613,36,54,77,7,69,75,53,48,41,91,32,5,62,65,true,false,false,Weekly,Once,true,false,false,true,Seldom,Daily,true,true,true,Seldom
35,66,98,16,38,9,40436919,17,35,25,81,97,88,87,94,8,90,61,96,40,5,true,true,false,Weekly,Daily,true,true,false,false,Yearly,Daily,true,false,false,Often
36,88,74,87,53,27,89266006,96,15,15,80,65,52,17,88,23,78,62,10,97,2,true,false,false,Weekly,Often,true,false,true,false,Never,Weekly,true,false,true,Seldom
37,27,86,66,94,88,26108953,91,37,10,41,93,27,7,1,13,99,38,85,60,92,true,false,true,Daily,Once,true,false,true,false,Yearly,Monthly,false,true,false,Monthly
38,20,25,31,45,46,74086208,32,33,96,15,55,65,78,16,43,92,55,94,5,65,false,false,false,Monthly,Weekly,false,false,false,false,Seldom,Weekly,true,true,false,Yearly
39,20,35,43,41,27,42471536,45,40,3,100,81,71,97,27,38,24,98,51,54,78,false,true,false,Weekly,Yearly,true,true,false,false,Weekly,Daily,true,false,false,Often
40,55,18,84,43,6,89593330,3,27,32,54,33,70,91,33,18,75,71,81,10,47,true,true,false,Weekly,Often,true,true,false,false,Never,Never,true,true,false,Daily
41,26,32,26,60,18,59275177,27,26,42,38,35,61,70,53,41,87,36,28,14,44,false,false,true,Never,Often,false,false,true,false,Weekly,Monthly,true,true,true,Seldom
42,63,75,46,96,75,95536948,17,82,9,4,80,51,92,3,79,70,2,60,89,15,true,false,true,Weekly,Seldom,false,true,true,false,Yearly,Often,true,false,true,Once
43,69,48,86,21,32,34969855,89,16,30,91,19,22,5,64,64,41,85,25,23,14,false,false,true,Yearly,Seldom,false,false,true,true,Weekly,Seldom,false,false,false,Often
44,83,20,37,50,34,95979619,98,27,12,55,88,5,83,11,23,89,85,12,32,38,true,true,false,Often,Weekly,false,true,false,true,Never,Monthly,true,false,true,Weekly
45,11,31,16,68,12,37167306,65,29,52,17,70,86,57,52,29,39,39,32,33,70,false,true,true,Seldom,Monthly,true,true,true,true,Never,Seldom,false,false,false,Weekly
46,14,25,14,25,77,83244222,96,1,7,32,86,63,16,16,28,69,62,77,92,52,false,false,true,Weekly,Once,true,false,true,true,Never,Yearly,true,true,true,Once
47,11,32,72,27,94,6303382,75,24,25,36,28,70,82,41,54,23,64,77,75,20,true,true,true,Daily,Monthly,false,false,true,false,Daily,Once,true,false,false,Weekly
48,4,6,79,66,3,73941604,93,25,40,98,14,37,45,84,21,36,88,66,65,42,false,true,true,Often,Never,true,false,true,true,Daily,Monthly,false,true,true,Weekly
49,46,4,48,98,28,41956583,37,49,32,38,56,82,59,58,27,82,54,65,66,24,true,false,false,Daily,Seldom,false,false,true,true,Weekly,Once,true,false,true,Often
50,19,79,3,60,21,32343680,12,9,8,28,59,81,47,66,72,12,7,46,54,8,true,true,false,Once,Often,true,false,true,true,Once,Weekly,false,true,true,Weekly
51,27,79,72,79,54,67598051,82,65,29,69,74,7,89,18,1,100,37,81,61,26,false,false,false,Weekly,Monthly,true,true,true,false,Monthly,Monthly,true,true,false,Weekly
52,56,25,84,89,46,2569143,34,14,18,69,11,11,18,29,82,83,10,64,39,58,false,true,true,Yearly,Once,false,true,true,false,Once,Yearly,false,true,true,Yearly
53,39,52,53,67,28,67224857,88,2,17,28,58,49,59,24,99,38,58,69,39,11,false,false,false,Never,Often,true,false,true,true,Weekly,Monthly,true,true,false,Yearly
54,96,91,88,69,74,95593029,61,34,60,27,23,58,40,49,9,81,45,55,95,43,false,false,true,Once,Never,false,false,true,false,Never,Often,true,true,true,Monthly
55,32,58,45,67,98,87100471,58,74,34,98,65,15,48,13,20,27,34,85,64,15,true,true,false,Yearly,Yearly,false,false,false,false,Weekly,Seldom,true,false,false,Seldom
56,1,91,3,53,94,24773196,88,12,66,70,91,29,19,10,36,76,31,24,59,62,false,true,true,Often,Yearly,false,true,false,false,Often,Weekly,true,true,false,Weekly
57,15,84,99,59,49,5605244,39,85,56,27,93,42,43,38,46,75,76,100,76,41,true,false,true,Often,Monthly,true,true,true,false,Never,Once,false,true,true,Weekly
58,67,66,25,22,94,2111153,10,25,41,85,14,99,93,28,29,93,98,1,42,75,false,false,false,Monthly,Seldom,false,true,true,true,Daily,Often,true,false,true,Monthly
59,27,43,41,25,22,54777139,5,3,90,69,98,37,5,76,5,12,18,97,38,91,false,true,true,Never,Once,true,true,false,true,Never,Weekly,true,true,false,Seldom
60,35,31,12,48,47,52049807,89,21,44,90,2,76,26,34,81,97,90,51,82,6,false,true,false,Once,Weekly,true,false,true,false,Often,Never,false,true,false,Often
61,40,53,64,55,25,7413076,14,93,6,71,34,74,87,58,43,55,88,79,46,97,true,false,false,Yearly,Yearly,false,true,false,false,Monthly,Seldom,false,false,false,Never
62,97,41,76,18,26,55142654,79,83,20,26,63,47,96,87,25,49,67,34,63,16,false,true,false,Daily,Once,false,true,true,false,Weekly,Seldom,true,true,false,Seldom
63,42,54,99,71,80,16731331,37,18,42,48,5,42,61,16,66,54,44,51,33,10,false,true,false,Never,Seldom,false,true,false,true,Once,Monthly,true,true,false,Once
64,66,24,70,26,74,28275215,95,7,12,79,4,69,19,46,29,96,99,39,50,63,false,false,false,Never,Seldom,true,true,true,false,Once,Seldom,true,false,false,Weekly
65,6,71,77,34,37,22815471,19,7,92,37,24,83,86,62,70,13,36,3,100,21,true,false,true,Daily,Monthly,true,true,true,false,Yearly,Weekly,true,false,false,Weekly
66,54,18,21,72,7,50581083,95,64,43,75,99,88,89,97,21,68,62,93,34,8,false,true,true,Monthly,Seldom,false,true,false,false,Seldom,Seldom,false,true,true,Monthly
67,10,85,39,17,2,52955982,14,54,94,17,14,98,58,40,57,5,53,53,67,34,true,false,true,Seldom,Weekly,true,true,false,true,Never,Yearly,false,true,false,Weekly
68,45,87,18,20,75,81762027,91,62,65,85,11,73,36,14,86,33,52,85,80,28,false,false,false,Weekly,Never,true,true,false,false,Seldom,Monthly,true,false,true,Never
69,59,69,3,93,27,10821675,41,56,49,66,82,76,37,40,29,31,91,72,61,29,true,false,true,Never,Monthly,true,true,false,true,Daily,Once,true,true,false,Daily
70,44,65,86,97,38,58735764,47,16,95,15,34,88,33,93,70,23,96,3,48,8,true,false,true,Often,Never,true,true,false,false,Daily,Seldom,false,false,false,Yearly
71,39,64,61,24,49,18770936,8,45,21,28,87,55,24,74,26,89,55,78,57,38,false,false,true,Never,Once,false,true,true,true,Seldom,Weekly,false,false,true,Monthly
72,96,93,28,91,100,62810567,32,67,64,36,44,66,90,57,29,4,19,4,59,37,true,false,false,Once,Monthly,false,false,false,false,Monthly,Once,false,true,false,Seldom
73,70,47,45,86,33,12218117,33,41,13,39,30,75,22,39,39,98,36,1,80,33,false,true,true,Seldom,Often,false,false,false,true,Often,Often,false,true,true,Monthly
74,76,62,66,27,66,425257,69,47,87,22,10,52,15,30,13,2,32,86,34,49,false,false,true,Never,Often,false,true,true,false,Once,Never,false,true,false,Weekly
75,59,48,88,49,70,45276191,27,84,45,14,43,37,8,48,40,93,79,15,72,50,false,true,false,Yearly,Often,true,true,false,false,Yearly,Monthly,false,false,false,Yearly
76,81,2,4,82,44,18516976,5,41,36,17,5,71,21,15,80,36,58,84,71,63,true,true,true,Monthly,Once,false,true,false,true,Never,Seldom,false,true,true,Daily
77,76,19,98,96,7,719642,51,64,6,39,26,42,5,81,55,76,59,25,59,76,true,false,false,Yearly,Never,false,false,false,false,Seldom,Never,false,false,false,Once
78,45,5,72,88,53,34842644,53,99,55,88,40,16,6,96,67,58,55,76,72,86,true,false,false,Monthly,Never,true,true,true,false,Never,Monthly,true,false,true,Once
79,90,58,16,69,32,9399540,30,93,28,95,75,12,91,21,77,100,43,33,67,41,false,true,false,Weekly,Monthly,false,false,true,false,Daily,Monthly,true,true,false,Once
80,89,64,38,100,7,27555043,8,74,55,31,6,12,90,28,57,25,35,91,99,87,false,true,true,Once,Often,true,false,true,false,Often,Never,true,false,true,Once
81,53,83,64,33,87,23242283,47,58,18,88,77,70,18,25,18,100,89,8,32,21,false,false,true,Yearly,Monthly,true,false,false,false,Daily,Seldom,false,false,true,Never
82,22,29,22,93,68,36999433,3,73,51,34,29,73,85,19,59,87,96,65,38,95,false,false,false,Monthly,Once,false,true,true,true,Once,Once,false,false,false,Seldom
83,38,52,50,99,56,31026769,83,40,81,37,74,68,89,96,20,80,31,55,4,89,true,false,false,Never,Once,false,false,true,false,Weekly,Weekly,true,false,true,Often
84,58,25,56,73,28,11006081,58,19,20,87,56,97,71,54,48,93,38,1,18,41,false,true,false,Monthly,Weekly,false,false,false,false,Once,Yearly,true,true,true,Yearly
85,97,88,43,61,89,55433197,20,73,47,13,4,58,45,60,45,41,28,47,33,99,false,false,false,Yearly,Monthly,true,true,true,false,Never,Daily,true,true,false,Monthly
86,47,30,72,43,97,38387036,87,68,96,88,75,43,28,36,15,80,92,9,26,29,true,true,false,Monthly,Seldom,false,false,false,true,Monthly,Never,true,false,true,Daily
87,27,63,13,72,87,52061603,43,69,90,14,15,59,95,71,67,16,89,22,94,72,false,false,true,Daily,Seldom,true,false,true,true,Never,Daily,false,false,true,Often
88,96,83,3,86,89,68310594,74,44,78,47,47,17,91,16,36,13,41,97,21,96,false,false,false,Seldom,Yearly,false,true,false,true,Once,Monthly,false,true,true,Seldom
89,6,22,77,5,19,53555985,76,23,90,32,37,88,87,28,25,84,50,86,1,96,false,true,false,Often,Daily,false,true,true,false,Daily,Weekly,false,false,false,Weekly
90,14,95,85,75,11,90380651,67,68,10,39,34,91,66,52,30,63,28,38,59,85,false,true,true,Yearly,Never,true,true,false,true,Seldom,Monthly,false,false,false,Monthly
91,93,2,39,29,27,50783272,97,73,68,92,6,25,43,14,56,68,53,48,64,72,true,true,false,Often,Weekly,true,true,true,true,Yearly,Once,false,false,false,Seldom
92,43,34,96,84,20,40206749,54,23,87,13,44,50,53,72,20,29,6,56,9,47,true,false,false,Often,Often,true,true,true,false,Weekly,Daily,true,true,true,Daily
93,42,41,100,68,11,38316626,52,5,44,33,17,57,9,28,36,59,63,2,62,91,true,true,true,Weekly,Often,false,false,false,true,Daily,Weekly,false,true,false,Monthly
94,84,40,94,22,58,27549316,92,42,24,72,41,88,84,94,27,18,9,28,57,9,false,true,true,Weekly,Often,true,true,true,false,Daily,Seldom,true,false,true,Monthly
95,88,38,35,45,38,36550142,49,69,42,56,89,69,37,67,28,71,21,1,54,85,true,false,true,Seldom,Yearly,true,false,true,false,Yearly,Often,true,false,true,Once
96,56,87,63,85,77,75955542,33,77,85,24,84,9,73,16,98,87,12,45,99,91,false,false,true,Never,Yearly,true,false,false,false,Never,Daily,false,false,false,Weekly
97,8,32,97,26,16,84954289,80,98,51,6,48,46,11,99,51,90,91,67,70,14,false,false,false,Often,Seldom,false,false,true,true,Yearly,Monthly,false,false,false,Once
98,24,100,35,59,91,37152655,7,41,31,98,68,99,1,10,75,84,32,55,24,38,false,false,false,Never,Never,false,false,false,false,Daily,Seldom,false,false,true,Yearly
99,19,67,33,57,30,37889958,71,62,79,73,47,43,95,54,100,36,10,72,81,27,true,true,false,Often,Once,false,false,true,false,Often,Never,true,false,false,Weekly
100,59,57,84,48,47,25133635,5,55,29,99,76,9,63,86,41,68,13,16,33,16,true,false,false,Seldom,Often,false,false,true,true,Weekly,Seldom,true,false,false,Seldom
101,69,39,88,63,51,5506082,29,45,69,48,95,66,10,17,40,51,63,60,48,95,true,false,true,Once,Monthly,false,true,false,false,Yearly,Monthly,false,true,false,Never
102,7,18,28,93,7,45537617,3,81,78,43,19,15,31,57,65,96,44,37,46,41,false,false,true,Monthly,Weekly,true,false,false,true,Yearly,Monthly,true,true,true,Once
103,59,5,11,61,88,7033255,27,55,32,74,90,69,4,5,54,44,95,9,84,10,true,false,true,Seldom,Monthly,false,true,true,true,Daily,Monthly,true,true,false,Seldom
104,87,37,24,100,82,74044342,6,22,87,44,33,87,52,6,66,12,94,12,66,59,true,true,false,Daily,Monthly,true,false,false,false,Yearly,Often,true,false,false,Monthly
105,74,7,77,8,64,60024047,43,86,76,14,100,6,71,97,80,60,11,33,36,20,false,true,false,Once,Once,true,false,true,true,Daily,Never,true,true,false,Once
106,83,57,38,13,95,82028206,77,26,55,2,33,46,39,86,3,1,56,83,33,52,false,false,true,Weekly,Weekly,false,true,false,true,Often,Seldom,true,true,true,Once
107,53,39,32,30,19,81905357,75,72,90,98,25,21,43,8,59,95,18,21,66,72,true,false,false,Yearly,Yearly,true,true,false,true,Monthly,Often,false,true,false,Monthly
108,17,8,84,10,37,50076212,79,40,79,85,25,2,24,35,63,91,83,88,7,80,true,true,true,Often,Daily,true,false,true,false,Yearly,Yearly,true,false,true,Once
109,54,3,40,100,41,31855167,29,31,13,96,23,97,89,80,97,20,66,49,91,47,false,false,false,Yearly,Often,true,false,true,true,Daily,Never,true,true,false,Never
110,72,88,32,74,73,28922958,86,71,10,67,40,34,35,43,66,44,84,24,71,36,false,true,true,Never,Often,true,true,false,true,Daily,Often,false,false,false,Yearly
111,18,88,47,98,86,12541642,57,97,58,83,36,14,73,55,62,71,77,15,63,38,true,true,false,Yearly,Once,true,true,true,true,Once,Monthly,true,false,true,Seldom
112,21,26,45,19,18,48787382,65,42,77,22,91,29,52,55,59,52,93,73,78,49,false,true,false,Often,Monthly,false,false,false,true,Seldom,Often,true,false,false,Never
113,28,31,55,40,98,23866952,93,4,26,94,32,89,58,92,63,67,96,39,78,40,true,false,false,Never,Once,false,false,false,true,Once,Monthly,false,false,true,Monthly
114,88,33,41,23,98,27920647,82,37,82,93,1,81,56,34,4,16,48,68,15,77,false,true,true,Never,Yearly,false,false,true,false,Seldom,Yearly,false,true,true,Monthly
115,68,99,75,82,44,56912735,51,22,64,4,97,67,12,74,36,67,23,53,5,34,false,true,true,Seldom,Never,true,true,false,true,Weekly,Often,false,true,false,Once
116,93,96,59,29,70,69276958,87,95,6,86,55,20,79,78,52,6,85,35,44,71,true,false,true,Yearly,Weekly,false,false,false,false,Monthly,Monthly,true,true,false,Never
117,60,53,25,92,28,28042682,61,53,27,43,4,86,98,63,90,39,50,16,37,15,false,false,true,Often,Never,true,true,true,true,Never,Never,true,true,false,Yearly
118,55,7,97,56,17,75005896,48,59,24,31,88,98,72,12,43,48,65,26,74,96,true,true,false,Often,Yearly,false,true,false,true,Monthly,Once,false,false,false,Often
119,87,16,68,47,7,27610210,72,37,21,11,97,67,22,36,9,74,22,67,8,97,false,false,false,Weekly,Once,true,false,true,false,Never,Once,true,true,false,Often
120,87,73,49,4,55,460594,76,72,81,20,88,52,14,24,91,52,24,60,44,17,true,true,false,Once,Once,true,false,true,false,Weekly,Seldom,true,true,false,Yearly
121,47,44,97,83,81,13082240,78,11,98,92,35,49,94,59,50,5,10,39,66,47,true,false,true,Yearly,Monthly,true,true,false,false,Once,Seldom,true,true,false,Yearly
122,66,31,50,59,5,60905407,25,27,19,36,4,32,91,61,34,80,35,99,20,1,true,true,false,Yearly,Weekly,true,false,true,true,Monthly,Daily,false,true,true,Seldom
123,36,1,21,89,86,96572966,78,69,54,68,10,87,2,100,86,36,29,71,76,77,false,true,false,Daily,Never,false,true,false,true,Monthly,Often,true,true,true,Once
124,47,13,88,52,80,7319964,67,22,5,19,36,20,39,79,85,57,12,68,19,31,false,false,true,Once,Weekly,false,false,true,false,Monthly,Weekly,true,true,true,Daily
125,9,24,54,83,70,22917023,94,32,80,14,74,86,62,46,99,37,93,22,13,100,false,false,true,Once,Daily,false,false,false,true,Monthly,Daily,true,true,true,Once
126,80,77,14,92,53,76973915,57,2,50,6,85,31,40,51,44,42,65,15,68,63,false,false,false,Yearly,Monthly,false,false,true,true,Yearly,Often,true,true,false,Monthly
127,76,3,65,84,80,47722863,86,37,15,8,10,73,5,27,14,73,69,96,93,40,false,false,true,Yearly,Never,true,false,false,true,Monthly,Monthly,true,false,false,Once
128,30,39,22,25,27,51983236,86,65,73,82,88,96,44,15,25,38,23,58,70,97,true,false,false,Seldom,Never,false,false,true,false,Monthly,Never,true,false,true,Seldom
129,83,66,13,57,49,29462198,4,24,8,8,26,88,61,79,84,38,48,97,36,49,true,false,true,Often,Once,true,true,false,false,Often,Yearly,false,true,false,Daily
130,79,11,39,86,35,57442149,78,56,77,84,94,92,6,63,94,24,71,26,31,82,true,false,true,Daily,Yearly,true,false,true,true,Once,Once,true,true,false,Once
131,68,98,24,93,34,92809746,95,11,5,86,33,55,83,16,13,42,54,49,78,58,true,true,false,Often,Seldom,true,false,false,true,Monthly,Once,false,true,true,Daily
132,34,39,19,53,83,40642443,18,1,83,67,62,22,47,2,22,28,24,4,63,43,true,true,true,Monthly,Seldom,true,false,true,false,Weekly,Monthly,false,false,false,Daily
133,25,17,79,80,57,8888858,90,77,58,81,52,94,35,86,76,9,61,86,25,32,false,true,true,Never,Seldom,true,false,false,false,Seldom,Yearly,true,true,false,Often
134,37,57,93,59,27,58098675,44,27,1,13,15,83,64,43,100,4,58,28,100,99,true,true,true,Yearly,Yearly,false,true,false,true,Often,Seldom,false,false,false,Often
135,84,73,44,86,54,95474338,41,40,30,7,56,89,1,71,50,68,33,27,18,7,false,true,true,Yearly,Yearly,false,false,true,false,Often,Yearly,true,true,false,Yearly
136,98,55,27,63,74,96474936,9,77,28,52,58,39,8,24,27,22,33,41,86,2,true,true,false,Never,Seldom,true,true,false,true,Seldom,Weekly,true,false,true,Seldom
137,33,70,81,31,27,73547720,98,100,14,36,68,57,13,57,10,29,53,23,42,77,true,false,true,Never,Once,true,true,false,false,Daily,Once,true,true,false,Yearly
138,50,15,33,78,50,36444878,89,90,36,72,4,39,2,98,55,71,92,34,57,58,false,true,true,Often,Often,true,true,true,true,Daily,Never,false,false,true,Seldom
139,73,43,26,20,92,55437053,94,96,2,38,29,4,64,36,71,56,31,2,86,57,true,true,true,Once,Daily,true,false,true,true,Monthly,Often,true,true,true,Once
140,22,23,43,34,46,86493951,11,44,36,66,14,56,68,64,48,40,10,26,22,99,true,true,false,Yearly,Monthly,true,false,true,true,Seldom,Weekly,false,false,true,Never
141,53,18,26,16,34,29700244,14,58,38,84,19,23,97,3,40,7,78,43,78,62,true,true,true,Monthly,Weekly,false,false,false,true,Seldom,Daily,true,true,false,Never
142,99,26,34,3,86,89928199,27,12,44,85,13,72,49,76,65,76,99,44,92,5,true,false,true,Once,Never,true,false,true,true,Once,Often,false,false,true,Seldom
143,2,76,10,99,3,83857652,34,44,7,26,59,86,79,86,93,97,65,91,41,51,false,false,false,Never,Often,true,false,true,false,Often,Once,false,true,false,Once
144,1,59,69,19,45,72575454,59,87,78,98,62,1,1,28,25,12,86,5,34,21,true,false,true,Weekly,Often,false,true,true,false,Never,Daily,false,false,false,Yearly
145,65,29,43,8,79,95589189,88,26,81,84,95,83,97,34,77,61,73,36,77,26,true,true,false,Yearly,Weekly,false,false,true,false,Seldom,Never,true,false,false,Often
146,50,90,47,45,88,45329570,64,22,89,93,73,65,2,58,1,1,73,95,8,13,true,false,false,Often,Once,true,true,true,false,Never,Weekly,true,false,false,Seldom
147,52,54,41,32,22,19491949,81,90,51,46,92,62,59,40,79,62,63,38,24,36,false,true,false,Weekly,Weekly,false,true,false,false,Monthly,Monthly,false,true,true,Yearly
148,50,12,92,77,53,48072105,100,9,74,87,29,93,99,64,52,56,61,87,9,77,true,true,true,Seldom,Once,false,false,true,true,Weekly,Once,true,false,false,Never
149,9,93,95,69,52,34388831,7,51,63,72,65,66,51,83,3,59,95,53,67,17,true,true,false,Daily,Monthly,false,true,true,true,Weekly,Daily,true,false,false,Often
150,38,48,42,74,43,22509830,94,71,11,98,69,20,86,79,50,32,1,61,62,58,true,true,true,Once,Once,true,true,true,false,Once,Weekly,true,false,false,Seldom
151,36,12,60,89,92,63406048,95,2,25,1,38,31,47,86,74,99,46,70,63,48,false,true,true,Often,Seldom,true,true,false,true,Weekly,Daily,true,false,false,Never
152,16,5,13,12,39,63782641,98,21,67,83,61,88,89,45,75,34,82,21,20,50,true,true,true,Daily,Daily,false,false,true,true,Yearly,Yearly,true,false,true,Yearly
153,82,13,66,53,15,85903978,92,37,54,16,47,63,25,45,67,98,56,83,45,25,true,true,true,Seldom,Weekly,false,false,false,true,Often,Daily,true,true,false,Monthly
154,64,15,47,98,61,40440984,81,36,42,10,3,1,55,53,20,34,74,59,70,29,true,false,false,Once,Monthly,false,false,false,false,Daily,Weekly,true,false,false,Monthly
155,67,61,48,80,73,1616599,75,17,62,72,30,27,75,37,78,41,50,87,52,68,false,false,false,Monthly,Never,false,false,true,false,Seldom,Monthly,false,true,false,Monthly
156,8,19,31,79,44,1826868,59,8,35,48,24,55,93,76,63,91,75,9,64,73,false,false,false,Once,Daily,false,false,false,true,Daily,Seldom,true,false,true,Never
157,13,3,3,76,12,36140951,94,23,74,24,63,60,38,33,54,22,18,70,10,42,false,false,false,Seldom,Seldom,true,true,false,true,Often,Daily,true,true,true,Monthly
158,75,40,57,14,15,99149111,75,29,36,67,13,15,29,55,39,7,66,8,26,76,true,true,true,Weekly,Yearly,false,false,false,false,Yearly,Daily,true,true,false,Often
159,11,60,38,20,16,10021821,77,17,66,59,87,12,78,86,24,13,19,95,59,7,true,true,true,Daily,Yearly,true,true,false,false,Often,Often,false,false,true,Once
